"Código DANE";"Departamento";"Aptitud Alta (ha)";"Alta";"Aptitud Media (ha)";"Media";"Aptitud Baja (ha)";"Baja";"No Apta (ha)";"No Apta";"Exclusiones Legales (ha)";"Exclusiones Legales";"Área de Estudio (ha)";
"91";"AMAZONAS";0;0,0%;0;0,0%;0;0,0%;8.596.622;78,8%;2.307.064;21,2%;10.903.686;
"05";"ANTIOQUIA";74.711;1,2%;98.314;1,6%;39.969;0,6%;5.631.252;89,4%;452.054;7,2%;6.296.299;
"81";"ARAUCA";0;0,0%;0;0,0%;0;0,0%;2.200.562;92,3%;182.573;7,7%;2.383.135;
"08";"ATLANTICO";0;0,0%;0;0,0%;0;0,0%;311.419;94,0%;19.741;6,0%;331.159;
"13";"BOLIVAR";0;0,0%;0;0,0%;0;0,0%;2.646.098;99,3%;19.398;0,7%;2.665.496;
"15";"BOYACA";123.818;5,3%;199.869;8,6%;34.834;1,5%;1.313.552;56,7%;645.459;27,9%;2.317.531;
"17";"CALDAS";800;0,1%;21.603;2,9%;54.035;7,3%;604.695;81,3%;62.757;8,4%;743.890;
"18";"CAQUETA";0;0,0%;0;0,0%;0;0,0%;6.466.908;71,8%;2.543.914;28,2%;9.010.823;
"85";"CASANARE";0;0,0%;0;0,0%;169;0,0%;4.410.398;99,5%;23.572;0,5%;4.434.139;
"19";"CAUCA";21.695;0,7%;115.763;3,7%;76.297;2,4%;2.410.821;77,1%;500.554;16,0%;3.125.130;
"20";"CESAR";0;0,0%;30;0,0%;1.653;0,1%;2.166.682;96,0%;88.185;3,9%;2.256.550;
"27";"CHOCO";0;0,0%;603;0,0%;1.182;0,0%;4.586.412;95,1%;236.147;4,9%;4.824.344;
"23";"CORDOBA";0;0,0%;0;0,0%;0;0,0%;2.089.778;83,6%;410.080;16,4%;2.499.858;
"25";"CUNDINAMARCA";144.982;6,0%;232.636;9,7%;72.778;3,0%;1.501.914;62,6%;446.127;18,6%;2.398.439;
"94";"GUAINIA";0;0,0%;0;0,0%;0;0,0%;6.036.309;84,5%;1.104.077;15,5%;7.140.386;
"95";"GUAVIARE";0;0,0%;0;0,0%;0;0,0%;4.256.846;76,6%;1.301.065;23,4%;5.557.912;
"41";"HUILA";307;0,0%;5.778;0,3%;11.190;0,6%;1.471.105;81,1%;325.153;17,9%;1.813.533;
"44";"LA GUAJIRA";0;0,0%;0;0,0%;103;0,0%;1.840.245;89,2%;221.588;10,7%;2.061.936;
"47";"MAGDALENA";0;0,0%;0;0,0%;76;0,0%;2.026.397;87,6%;287.965;12,4%;2.314.438;
"50";"META";0;0,0%;0;0,0%;863;0,0%;7.271.027;85,0%;1.283.135;15,0%;8.555.025;
"52";"NARINO";119.407;3,8%;77.361;2,5%;57.870;1,8%;2.555.122;81,1%;339.992;10,8%;3.149.751;
"54";"NORTE DE SANTANDER";4.525;0,2%;42.953;2,0%;26.889;1,2%;1.696.800;77,7%;411.537;18,9%;2.182.705;
"86";"PUTUMAYO";0;0,0%;8.998;0,3%;7.942;0,3%;2.049.419;79,3%;518.273;20,1%;2.584.632;
"63";"QUINDIO";0;0,0%;684;0,4%;17.668;9,1%;151.083;78,2%;23.781;12,3%;193.217;
"66";"RISARALDA";0;0,0%;3.891;1,1%;1.128;0,3%;298.427;83,8%;52.589;14,8%;356.035;
"88";"SAN ANDRES PROVIDENCIA Y SANTA CATALINA";0;0,0%;0;0,0%;0;0,0%;4.972;100,0%;0;0,0%;4.972;
"68";"SANTANDER";2.049;0,1%;75.176;2,5%;45.260;1,5%;2.609.806;85,4%;322.036;10,5%;3.054.326;
"70";"SUCRE";0;0,0%;0;0,0%;0;0,0%;1.042.688;97,3%;29.171;2,7%;1.071.860;
"73";"TOLIMA";3.991;0,2%;44.440;1,8%;50.550;2,1%;1.905.604;78,9%;410.435;17,0%;2.415.020;
"76";"VALLE DEL CAUCA";8.912;0,4%;21.945;1,1%;9.965;0,5%;1.523.980;73,4%;512.002;24,7%;2.076.805;
"97";"VAUPES";0;0,0%;0;0,0%;0;0,0%;4.762.445;89,1%;580.733;10,9%;5.343.179;
"99";"VICHADA";0;0,0%;0;0,0%;0;0,0%;9.445.675;94,4%;563.083;5,6%;10.008.757;
