"Código DANE";"Departamento";"Aptitud Alta (ha)";"Alta";"Aptitud Media (ha)";"Media";"Aptitud Baja (ha)";"Baja";"No Apta (ha)";"No Apta";"Exclusiones Legales (ha)";"Exclusiones Legales";"Área de Estudio (ha)";
"91";"AMAZONAS";0;0,0%;758;0,0%;0;0,0%;8.595.864;78,8%;2.307.064;21,2%;10.903.686;
"05";"ANTIOQUIA";335.113;5,3%;1.063.940;16,9%;887.110;14,1%;3.555.598;56,5%;454.538;7,2%;6.296.299;
"81";"ARAUCA";3.886;0,2%;85.798;3,6%;927.855;38,9%;1.183.023;49,6%;182.573;7,7%;2.383.135;
"08";"ATLANTICO";2.172;0,7%;35.477;10,7%;110.302;33,3%;163.469;49,4%;19.741;6,0%;331.159;
"13";"BOLIVAR";86.652;3,3%;188.981;7,1%;429.214;16,1%;1.941.385;72,8%;19.265;0,7%;2.665.496;
"15";"BOYACA";46.315;2,0%;315.616;13,6%;212.619;9,2%;1.098.579;47,4%;644.402;27,8%;2.317.531;
"17";"CALDAS";18.942;2,5%;120.764;16,2%;169.911;22,8%;371.517;49,9%;62.756;8,4%;743.890;
"18";"CAQUETA";247.549;2,7%;355.815;3,9%;119.558;1,3%;5.746.048;63,8%;2.541.853;28,2%;9.010.823;
"85";"CASANARE";125.028;2,8%;195.791;4,4%;152.011;3,4%;3.937.739;88,8%;23.570;0,5%;4.434.139;
"19";"CAUCA";71.825;2,3%;342.931;11,0%;414.280;13,3%;1.794.726;57,4%;501.367;16,0%;3.125.130;
"20";"CESAR";174.032;7,7%;345.107;15,3%;287.707;12,7%;1.361.456;60,3%;88.249;3,9%;2.256.550;
"27";"CHOCO";160;0,0%;43.979;0,9%;87.539;1,8%;4.456.287;92,4%;236.379;4,9%;4.824.344;
"23";"CORDOBA";605.757;24,2%;322.070;12,9%;581.793;23,3%;580.158;23,2%;410.080;16,4%;2.499.858;
"25";"CUNDINAMARCA";73.219;3,1%;550.333;22,9%;321.593;13,4%;1.006.453;42,0%;446.842;18,6%;2.398.439;
"94";"GUAINIA";0;0,0%;5.834;0,1%;22.080;0,3%;6.008.396;84,1%;1.104.077;15,5%;7.140.386;
"95";"GUAVIARE";336;0,0%;93.068;1,7%;193.265;3,5%;3.970.178;71,4%;1.301.065;23,4%;5.557.912;
"41";"HUILA";47.871;2,6%;250.202;13,8%;379.803;20,9%;801.095;44,2%;334.563;18,4%;1.813.533;
"44";"LA GUAJIRA";45.616;2,2%;88.772;4,3%;79.054;3,8%;1.622.578;78,7%;225.916;11,0%;2.061.936;
"47";"MAGDALENA";140.062;6,1%;207.094;8,9%;288.770;12,5%;1.390.524;60,1%;287.988;12,4%;2.314.438;
"50";"META";263.087;3,1%;1.965.708;23,0%;893.272;10,4%;4.149.955;48,5%;1.283.003;15,0%;8.555.025;
"52";"NARINO";8.230;0,3%;173.058;5,5%;241.843;7,7%;2.386.628;75,8%;339.992;10,8%;3.149.751;
"54";"NORTE DE SANTANDER";52.737;2,4%;132.427;6,1%;250.657;11,5%;1.331.373;61,0%;415.511;19,0%;2.182.705;
"86";"PUTUMAYO";6.071;0,2%;12.167;0,5%;38.961;1,5%;2.009.161;77,7%;518.273;20,1%;2.584.632;
"63";"QUINDIO";49.764;25,8%;44.687;23,1%;22.985;11,9%;52.018;26,9%;23.764;12,3%;193.217;
"66";"RISARALDA";12.560;3,5%;75.208;21,1%;70.901;19,9%;144.820;40,7%;52.547;14,8%;356.035;
"88";"SAN ANDRES PROVIDENCIA Y SANTA CATALINA";0;0,0%;0;0,0%;0;0,0%;4.972;100,0%;0;0,0%;4.972;
"68";"SANTANDER";36.219;1,2%;511.376;16,7%;747.601;24,5%;1.437.134;47,1%;321.996;10,5%;3.054.326;
"70";"SUCRE";241.711;22,6%;75.002;7,0%;72.701;6,8%;653.479;61,0%;28.968;2,7%;1.071.860;
"73";"TOLIMA";88.652;3,7%;190.818;7,9%;502.969;20,8%;1.222.244;50,6%;410.336;17,0%;2.415.020;
"76";"VALLE DEL CAUCA";65.604;3,2%;255.104;12,3%;175.040;8,4%;1.068.950;51,5%;512.108;24,7%;2.076.805;
"97";"VAUPES";0;0,0%;0;0,0%;0;0,0%;4.762.445;89,1%;580.733;10,9%;5.343.179;
"99";"VICHADA";166.801;1,7%;2.042.580;20,4%;379.975;3,8%;6.856.318;68,5%;563.083;5,6%;10.008.757;
