"Código DANE";"Departamento";"Aptitud Alta (ha)";"Alta";"Aptitud Media (ha)";"Media";"Aptitud Baja (ha)";"Baja";"No Apta (ha)";"No Apta";"Exclusiones Legales (ha)";"Exclusiones Legales";"Área de Estudio (ha)";
"91";"AMAZONAS";0;0,0%;0;0,0%;0;0,0%;8.596.622;78,8%;2.307.064;21,2%;10.903.686;
"05";"ANTIOQUIA";89.736;1,4%;126.612;2,0%;36.830;0,6%;5.591.067;88,8%;452.054;7,2%;6.296.299;
"81";"ARAUCA";0;0,0%;0;0,0%;0;0,0%;2.200.562;92,3%;182.573;7,7%;2.383.135;
"08";"ATLANTICO";0;0,0%;0;0,0%;0;0,0%;311.419;94,0%;19.741;6,0%;331.159;
"13";"BOLIVAR";0;0,0%;0;0,0%;0;0,0%;2.646.098;99,3%;19.398;0,7%;2.665.496;
"15";"BOYACA";71.751;3,1%;220.340;9,5%;74.947;3,2%;1.305.033;56,3%;645.459;27,9%;2.317.531;
"17";"CALDAS";975;0,1%;25.131;3,4%;48.119;6,5%;606.909;81,6%;62.757;8,4%;743.890;
"18";"CAQUETA";0;0,0%;0;0,0%;0;0,0%;6.466.908;71,8%;2.543.914;28,2%;9.010.823;
"85";"CASANARE";0;0,0%;0;0,0%;169;0,0%;4.410.398;99,5%;23.572;0,5%;4.434.139;
"19";"CAUCA";14.862;0,5%;120.576;3,9%;65.932;2,1%;2.423.205;77,5%;500.554;16,0%;3.125.130;
"20";"CESAR";0;0,0%;28;0,0%;1.630;0,1%;2.166.708;96,0%;88.185;3,9%;2.256.550;
"27";"CHOCO";0;0,0%;665;0,0%;1.210;0,0%;4.586.321;95,1%;236.147;4,9%;4.824.344;
"23";"CORDOBA";0;0,0%;0;0,0%;0;0,0%;2.089.778;83,6%;410.080;16,4%;2.499.858;
"25";"CUNDINAMARCA";105.036;4,4%;269.153;11,2%;85.636;3,6%;1.492.486;62,2%;446.127;18,6%;2.398.439;
"94";"GUAINIA";0;0,0%;0;0,0%;0;0,0%;6.036.309;84,5%;1.104.077;15,5%;7.140.386;
"95";"GUAVIARE";0;0,0%;0;0,0%;0;0,0%;4.256.846;76,6%;1.301.065;23,4%;5.557.912;
"41";"HUILA";378;0,0%;6.206;0,3%;10.663;0,6%;1.471.134;81,1%;325.153;17,9%;1.813.533;
"44";"LA GUAJIRA";0;0,0%;0;0,0%;103;0,0%;1.840.245;89,2%;221.588;10,7%;2.061.936;
"47";"MAGDALENA";0;0,0%;0;0,0%;76;0,0%;2.026.397;87,6%;287.965;12,4%;2.314.438;
"50";"META";0;0,0%;356;0,0%;2.715;0,0%;7.268.818;85,0%;1.283.135;15,0%;8.555.025;
"52";"NARINO";116.600;3,7%;82.909;2,6%;56.505;1,8%;2.553.744;81,1%;339.992;10,8%;3.149.751;
"54";"NORTE DE SANTANDER";3.941;0,2%;35.477;1,6%;35.327;1,6%;1.696.423;77,7%;411.537;18,9%;2.182.705;
"86";"PUTUMAYO";0;0,0%;10.017;0,4%;6.891;0,3%;2.049.451;79,3%;518.273;20,1%;2.584.632;
"63";"QUINDIO";0;0,0%;1.266;0,7%;16.976;8,8%;151.195;78,3%;23.781;12,3%;193.217;
"66";"RISARALDA";148;0,0%;3.712;1,0%;1.161;0,3%;298.425;83,8%;52.589;14,8%;356.035;
"88";"SAN ANDRES PROVIDENCIA Y SANTA CATALINA";0;0,0%;0;0,0%;0;0,0%;4.972;100,0%;0;0,0%;4.972;
"68";"SANTANDER";2.714;0,1%;79.694;2,6%;39.890;1,3%;2.609.992;85,5%;322.036;10,5%;3.054.326;
"70";"SUCRE";0;0,0%;0;0,0%;0;0,0%;1.042.688;97,3%;29.171;2,7%;1.071.860;
"73";"TOLIMA";4.409;0,2%;53.272;2,2%;40.722;1,7%;1.906.181;78,9%;410.435;17,0%;2.415.020;
"76";"VALLE DEL CAUCA";1.440;0,1%;29.697;1,4%;9.807;0,5%;1.523.859;73,4%;512.002;24,7%;2.076.805;
"97";"VAUPES";0;0,0%;0;0,0%;0;0,0%;4.762.445;89,1%;580.733;10,9%;5.343.179;
"99";"VICHADA";0;0,0%;0;0,0%;0;0,0%;9.445.675;94,4%;563.083;5,6%;10.008.757;
