"Código DANE";"Departamento";"Aptitud Alta (ha)";"Alta";"Aptitud Media (ha)";"Media";"Aptitud Baja (ha)";"Baja";"No Apta (ha)";"No Apta";"Exclusiones Legales (ha)";"Exclusiones Legales";"Área de Estudio (ha)";
"91";"AMAZONAS";0;0,0%;11.067;0,1%;13.892;0,1%;8.571.664;78,6%;2.307.064;21,2%;10.903.686;
"05";"ANTIOQUIA";195.549;3,1%;716.399;11,4%;860.819;13,7%;4.068.993;64,6%;454.538;7,2%;6.296.299;
"81";"ARAUCA";311;0,0%;79.431;3,3%;937.939;39,4%;1.182.881;49,6%;182.573;7,7%;2.383.135;
"08";"ATLANTICO";413;0,1%;24.862;7,5%;127.113;38,4%;159.030;48,0%;19.741;6,0%;331.159;
"13";"BOLIVAR";38.963;1,5%;124.078;4,7%;491.733;18,4%;1.991.457;74,7%;19.265;0,7%;2.665.496;
"15";"BOYACA";19.547;0,8%;288.592;12,5%;237.306;10,2%;1.127.685;48,7%;644.402;27,8%;2.317.531;
"17";"CALDAS";5.815;0,8%;92.442;12,4%;194.330;26,1%;388.548;52,2%;62.756;8,4%;743.890;
"18";"CAQUETA";320.263;3,6%;814.640;9,0%;208.466;2,3%;5.125.600;56,9%;2.541.853;28,2%;9.010.823;
"85";"CASANARE";78.287;1,8%;207.706;4,7%;145.738;3,3%;3.978.838;89,7%;23.570;0,5%;4.434.139;
"19";"CAUCA";39.560;1,3%;318.236;10,2%;475.129;15,2%;1.790.839;57,3%;501.367;16,0%;3.125.130;
"20";"CESAR";93.892;4,2%;330.878;14,7%;386.604;17,1%;1.356.927;60,1%;88.249;3,9%;2.256.550;
"27";"CHOCO";0;0,0%;1.099;0,0%;60.446;1,3%;4.526.420;93,8%;236.379;4,9%;4.824.344;
"23";"CORDOBA";382.505;15,3%;368.731;14,8%;697.745;27,9%;640.797;25,6%;410.080;16,4%;2.499.858;
"25";"CUNDINAMARCA";29.120;1,2%;453.488;18,9%;405.661;16,9%;1.063.328;44,3%;446.842;18,6%;2.398.439;
"94";"GUAINIA";0;0,0%;4.079;0,1%;23.508;0,3%;6.008.723;84,2%;1.104.077;15,5%;7.140.386;
"95";"GUAVIARE";0;0,0%;41.169;0,7%;270.908;4,9%;3.944.770;71,0%;1.301.065;23,4%;5.557.912;
"41";"HUILA";43.965;2,4%;226.588;12,5%;407.862;22,5%;800.555;44,1%;334.563;18,4%;1.813.533;
"44";"LA GUAJIRA";47.717;2,3%;96.636;4,7%;84.270;4,1%;1.607.396;78,0%;225.916;11,0%;2.061.936;
"47";"MAGDALENA";19.020;0,8%;230.008;9,9%;389.084;16,8%;1.388.339;60,0%;287.988;12,4%;2.314.438;
"50";"META";122.783;1,4%;1.842.199;21,5%;1.169.827;13,7%;4.137.214;48,4%;1.283.003;15,0%;8.555.025;
"52";"NARINO";4.729;0,2%;202.431;6,4%;339.283;10,8%;2.263.315;71,9%;339.992;10,8%;3.149.751;
"54";"NORTE DE SANTANDER";33.437;1,5%;72.172;3,3%;260.358;11,9%;1.401.228;64,2%;415.511;19,0%;2.182.705;
"86";"PUTUMAYO";11.211;0,4%;42.699;1,7%;191.586;7,4%;1.820.864;70,4%;518.273;20,1%;2.584.632;
"63";"QUINDIO";44.074;22,8%;43.102;22,3%;30.325;15,7%;51.953;26,9%;23.764;12,3%;193.217;
"66";"RISARALDA";10.859;3,0%;56.009;15,7%;88.773;24,9%;147.847;41,5%;52.547;14,8%;356.035;
"88";"SAN ANDRES PROVIDENCIA Y SANTA CATALINA";0;0,0%;0;0,0%;0;0,0%;4.972;100,0%;0;0,0%;4.972;
"68";"SANTANDER";9.091;0,3%;340.361;11,1%;907.507;29,7%;1.475.371;48,3%;321.996;10,5%;3.054.326;
"70";"SUCRE";154.326;14,4%;126.227;11,8%;78.788;7,4%;683.551;63,8%;28.968;2,7%;1.071.860;
"73";"TOLIMA";83.649;3,5%;148.980;6,2%;550.201;22,8%;1.221.854;50,6%;410.336;17,0%;2.415.020;
"76";"VALLE DEL CAUCA";60.279;2,9%;213.720;10,3%;222.014;10,7%;1.068.684;51,5%;512.108;24,7%;2.076.805;
"97";"VAUPES";0;0,0%;995;0,0%;22.889;0,4%;4.738.560;88,7%;580.733;10,9%;5.343.179;
"99";"VICHADA";17.646;0,2%;2.014.712;20,1%;559.627;5,6%;6.853.690;68,5%;563.083;5,6%;10.008.757;
