"Código DANE";"Departamento";"Aptitud Alta (ha)";"Alta";"Aptitud Media (ha)";"Media";"Aptitud Baja (ha)";"Baja";"No Apta (ha)";"No Apta";"Exclusiones Legales (ha)";"Exclusiones Legales";"Área de Estudio (ha)";
"91";"AMAZONAS";0;0,0%;0;0,0%;0;0,0%;8.596.622;78,8%;2.307.064;21,2%;10.903.686;
"05";"ANTIOQUIA";154.807;2,5%;401.160;6,4%;337.854;5,4%;4.947.940;78,6%;454.538;7,2%;6.296.299;
"81";"ARAUCA";0;0,0%;0;0,0%;0;0,0%;2.200.562;92,3%;182.573;7,7%;2.383.135;
"08";"ATLANTICO";0;0,0%;0;0,0%;0;0,0%;311.419;94,0%;19.741;6,0%;331.159;
"13";"BOLIVAR";0;0,0%;0;0,0%;6.590;0,2%;2.639.641;99,0%;19.265;0,7%;2.665.496;
"15";"BOYACA";99.568;4,3%;132.650;5,7%;154.274;6,7%;1.286.637;55,5%;644.402;27,8%;2.317.531;
"17";"CALDAS";20.552;2,8%;83.679;11,2%;39.531;5,3%;537.373;72,2%;62.756;8,4%;743.890;
"18";"CAQUETA";1.058;0,0%;1.544;0,0%;2.913;0,0%;6.463.454;71,7%;2.541.853;28,2%;9.010.823;
"85";"CASANARE";0;0,0%;1.688;0,0%;5.561;0,1%;4.403.320;99,3%;23.570;0,5%;4.434.139;
"19";"CAUCA";54.110;1,7%;297.095;9,5%;159.668;5,1%;2.112.890;67,6%;501.367;16,0%;3.125.130;
"20";"CESAR";218;0,0%;10.086;0,4%;24.458;1,1%;2.133.539;94,5%;88.249;3,9%;2.256.550;
"27";"CHOCO";0;0,0%;3.259;0,1%;5.289;0,1%;4.579.417;94,9%;236.379;4,9%;4.824.344;
"23";"CORDOBA";0;0,0%;0;0,0%;0;0,0%;2.089.778;83,6%;410.080;16,4%;2.499.858;
"25";"CUNDINAMARCA";121.193;5,1%;134.912;5,6%;57.078;2,4%;1.638.414;68,3%;446.842;18,6%;2.398.439;
"94";"GUAINIA";0;0,0%;0;0,0%;0;0,0%;6.036.309;84,5%;1.104.077;15,5%;7.140.386;
"95";"GUAVIARE";0;0,0%;0;0,0%;0;0,0%;4.256.847;76,6%;1.301.065;23,4%;5.557.912;
"41";"HUILA";47.644;2,6%;120.624;6,7%;153.643;8,5%;1.157.059;63,8%;334.563;18,4%;1.813.533;
"44";"LA GUAJIRA";0;0,0%;238;0,0%;2.447;0,1%;1.833.335;88,9%;225.916;11,0%;2.061.936;
"47";"MAGDALENA";68;0,0%;1.789;0,1%;13.367;0,6%;2.011.227;86,9%;287.988;12,4%;2.314.438;
"50";"META";514;0,0%;3.280;0,0%;1.297;0,0%;7.266.931;84,9%;1.283.003;15,0%;8.555.025;
"52";"NARINO";30.236;1,0%;107.764;3,4%;95.671;3,0%;2.576.088;81,8%;339.992;10,8%;3.149.751;
"54";"NORTE DE SANTANDER";13.449;0,6%;55.256;2,5%;70.169;3,2%;1.628.320;74,6%;415.511;19,0%;2.182.705;
"86";"PUTUMAYO";3.748;0,1%;5.480;0,2%;360;0,0%;2.056.772;79,6%;518.273;20,1%;2.584.632;
"63";"QUINDIO";8.530;4,4%;31.799;16,5%;6.865;3,6%;122.259;63,3%;23.764;12,3%;193.217;
"66";"RISARALDA";6.495;1,8%;33.048;9,3%;34.726;9,8%;229.220;64,4%;52.547;14,8%;356.035;
"88";"SAN ANDRES PROVIDENCIA Y SANTA CATALINA";0;0,0%;0;0,0%;0;0,0%;4.972;100,0%;0;0,0%;4.972;
"68";"SANTANDER";49.363;1,6%;247.794;8,1%;99.501;3,3%;2.335.671;76,5%;321.996;10,5%;3.054.326;
"70";"SUCRE";0;0,0%;0;0,0%;0;0,0%;1.042.892;97,3%;28.968;2,7%;1.071.860;
"73";"TOLIMA";2.998;0,1%;53.029;2,2%;159.922;6,6%;1.788.734;74,1%;410.336;17,0%;2.415.020;
"76";"VALLE DEL CAUCA";18.086;0,9%;80.666;3,9%;64.512;3,1%;1.401.433;67,5%;512.108;24,7%;2.076.805;
"97";"VAUPES";0;0,0%;0;0,0%;0;0,0%;4.762.445;89,1%;580.733;10,9%;5.343.179;
"99";"VICHADA";0;0,0%;0;0,0%;0;0,0%;9.445.675;94,4%;563.083;5,6%;10.008.757;
