"Código DANE";"Departamento";"Aptitud Alta (ha)";"Alta";"Aptitud Media (ha)";"Media";"Aptitud Baja (ha)";"Baja";"No Apta (ha)";"No Apta";"Exclusiones Legales (ha)";"Exclusiones Legales";"Área de Estudio (ha)";
"91";"AMAZONAS";0;0,0%;510;0,0%;175;0,0%;8.595.937;78,8%;2.307.064;21,2%;10.903.686;
"05";"ANTIOQUIA";227.501;3,6%;537.984;8,5%;373.044;5,9%;4.703.231;74,7%;454.538;7,2%;6.296.299;
"81";"ARAUCA";24.858;1,0%;161.219;6,8%;23.395;1,0%;1.991.090;83,5%;182.573;7,7%;2.383.135;
"08";"ATLANTICO";15.305;4,6%;38.196;11,5%;104.162;31,5%;153.755;46,4%;19.741;6,0%;331.159;
"13";"BOLIVAR";98.067;3,7%;188.228;7,1%;315.184;11,8%;2.044.753;76,7%;19.265;0,7%;2.665.496;
"15";"BOYACA";58.927;2,5%;34.343;1,5%;69.570;3,0%;1.510.290;65,2%;644.402;27,8%;2.317.531;
"17";"CALDAS";40.694;5,5%;96.979;13,0%;30.767;4,1%;512.693;68,9%;62.756;8,4%;743.890;
"18";"CAQUETA";196.105;2,2%;166.399;1,8%;54.787;0,6%;6.051.678;67,2%;2.541.853;28,2%;9.010.823;
"85";"CASANARE";120.630;2,7%;79.437;1,8%;35.069;0,8%;4.175.434;94,2%;23.570;0,5%;4.434.139;
"19";"CAUCA";157.888;5,1%;181.260;5,8%;169.588;5,4%;2.115.027;67,7%;501.367;16,0%;3.125.130;
"20";"CESAR";341.923;15,2%;233.860;10,4%;167.793;7,4%;1.424.725;63,1%;88.249;3,9%;2.256.550;
"27";"CHOCO";137;0,0%;19.542;0,4%;43.346;0,9%;4.524.940;93,8%;236.379;4,9%;4.824.344;
"23";"CORDOBA";562.879;22,5%;249.805;10,0%;500.546;20,0%;776.547;31,1%;410.080;16,4%;2.499.858;
"25";"CUNDINAMARCA";91.001;3,8%;193.619;8,1%;107.090;4,5%;1.559.887;65,0%;446.842;18,6%;2.398.439;
"94";"GUAINIA";0;0,0%;1.679;0,0%;5.724;0,1%;6.028.906;84,4%;1.104.077;15,5%;7.140.386;
"95";"GUAVIARE";5.579;0,1%;146.311;2,6%;95.258;1,7%;4.009.699;72,1%;1.301.065;23,4%;5.557.912;
"41";"HUILA";48.223;2,7%;261.068;14,4%;246.587;13,6%;923.092;50,9%;334.563;18,4%;1.813.533;
"44";"LA GUAJIRA";89.124;4,3%;89.946;4,4%;39.458;1,9%;1.617.492;78,4%;225.916;11,0%;2.061.936;
"47";"MAGDALENA";221.657;9,6%;114.979;5,0%;168.767;7,3%;1.521.047;65,7%;287.988;12,4%;2.314.438;
"50";"META";819.616;9,6%;1.454.107;17,0%;118.832;1,4%;4.879.467;57,0%;1.283.003;15,0%;8.555.025;
"52";"NARINO";17.825;0,6%;102.966;3,3%;31.616;1,0%;2.657.352;84,4%;339.992;10,8%;3.149.751;
"54";"NORTE DE SANTANDER";44.759;2,1%;108.708;5,0%;111.337;5,1%;1.502.390;68,8%;415.511;19,0%;2.182.705;
"86";"PUTUMAYO";0;0,0%;1.879;0,1%;28.437;1,1%;2.036.043;78,8%;518.273;20,1%;2.584.632;
"63";"QUINDIO";54.678;28,3%;23.997;12,4%;9.706;5,0%;81.073;42,0%;23.764;12,3%;193.217;
"66";"RISARALDA";12.676;3,6%;74.802;21,0%;39.889;11,2%;176.121;49,5%;52.547;14,8%;356.035;
"88";"SAN ANDRES PROVIDENCIA Y SANTA CATALINA";0;0,0%;0;0,0%;0;0,0%;4.972;100,0%;0;0,0%;4.972;
"68";"SANTANDER";118.290;3,9%;397.417;13,0%;400.282;13,1%;1.816.341;59,5%;321.996;10,5%;3.054.326;
"70";"SUCRE";256.692;23,9%;30.779;2,9%;29.393;2,7%;726.028;67,7%;28.968;2,7%;1.071.860;
"73";"TOLIMA";130.560;5,4%;280.627;11,6%;201.271;8,3%;1.392.226;57,6%;410.336;17,0%;2.415.020;
"76";"VALLE DEL CAUCA";192.244;9,3%;202.421;9,7%;89.652;4,3%;1.080.380;52,0%;512.108;24,7%;2.076.805;
"97";"VAUPES";0;0,0%;0;0,0%;0;0,0%;4.762.445;89,1%;580.733;10,9%;5.343.179;
"99";"VICHADA";1.286.665;12,9%;1.035.836;10,3%;73.717;0,7%;7.049.455;70,4%;563.083;5,6%;10.008.757;
