"Código DANE";"Departamento";"Aptitud Alta (ha)";"Alta";"Aptitud Media (ha)";"Media";"Aptitud Baja (ha)";"Baja";"No Apta (ha)";"No Apta";"Exclusiones Legales (ha)";"Exclusiones Legales";"Área de Estudio (ha)";
"91";"AMAZONAS";4.032;0,0%;3.937;0,0%;18.053;0,2%;8.570.600;78,6%;2.307.064;21,2%;10.903.686;
"05";"ANTIOQUIA";672.849;10,7%;881.146;14,0%;107.079;1,7%;4.180.686;66,4%;454.538;7,2%;6.296.299;
"81";"ARAUCA";17.390;0,7%;151.732;6,4%;204.564;8,6%;1.826.876;76,7%;182.573;7,7%;2.383.135;
"08";"ATLANTICO";2.801;0,8%;47.626;14,4%;84.551;25,5%;176.440;53,3%;19.741;6,0%;331.159;
"13";"BOLIVAR";129.356;4,9%;388.456;14,6%;138.318;5,2%;1.990.101;74,7%;19.265;0,7%;2.665.496;
"15";"BOYACA";33.297;1,4%;141.217;6,1%;99.674;4,3%;1.398.942;60,4%;644.402;27,8%;2.317.531;
"17";"CALDAS";35.233;4,7%;190.858;25,7%;8.837;1,2%;446.206;60,0%;62.756;8,4%;743.890;
"18";"CAQUETA";372.792;4,1%;945.352;10,5%;46.751;0,5%;5.104.075;56,6%;2.541.853;28,2%;9.010.823;
"85";"CASANARE";161.966;3,7%;165.693;3,7%;251.440;5,7%;3.831.470;86,4%;23.570;0,5%;4.434.139;
"19";"CAUCA";51.226;1,6%;241.541;7,7%;110.516;3,5%;2.220.480;71,1%;501.367;16,0%;3.125.130;
"20";"CESAR";174.601;7,7%;276.438;12,3%;166.240;7,4%;1.551.022;68,7%;88.249;3,9%;2.256.550;
"27";"CHOCO";31.614;0,7%;124.110;2,6%;201.239;4,2%;4.231.002;87,7%;236.379;4,9%;4.824.344;
"23";"CORDOBA";512.964;20,5%;670.997;26,8%;97.824;3,9%;807.994;32,3%;410.080;16,4%;2.499.858;
"25";"CUNDINAMARCA";99.317;4,1%;307.125;12,8%;54.372;2,3%;1.490.784;62,2%;446.842;18,6%;2.398.439;
"94";"GUAINIA";0;0,0%;0;0,0%;28.779;0,4%;6.007.530;84,1%;1.104.077;15,5%;7.140.386;
"95";"GUAVIARE";10.553;0,2%;119.570;2,2%;181.234;3,3%;3.945.490;71,0%;1.301.065;23,4%;5.557.912;
"41";"HUILA";127.016;7,0%;254.372;14,0%;31.082;1,7%;1.066.501;58,8%;334.563;18,4%;1.813.533;
"44";"LA GUAJIRA";45.175;2,2%;120.346;5,8%;22.171;1,1%;1.648.328;79,9%;225.916;11,0%;2.061.936;
"47";"MAGDALENA";34.283;1,5%;287.030;12,4%;156.172;6,7%;1.548.966;66,9%;287.988;12,4%;2.314.438;
"50";"META";936.942;11,0%;1.488.687;17,4%;658.543;7,7%;4.187.850;49,0%;1.283.003;15,0%;8.555.025;
"52";"NARINO";93.398;3,0%;93.645;3,0%;146.496;4,7%;2.476.220;78,6%;339.992;10,8%;3.149.751;
"54";"NORTE DE SANTANDER";131.539;6,0%;248.880;11,4%;79.468;3,6%;1.307.308;59,9%;415.511;19,0%;2.182.705;
"86";"PUTUMAYO";38.708;1,5%;165.134;6,4%;214.741;8,3%;1.647.776;63,8%;518.273;20,1%;2.584.632;
"63";"QUINDIO";991;0,5%;39.079;20,2%;20.396;10,6%;108.988;56,4%;23.764;12,3%;193.217;
"66";"RISARALDA";22.854;6,4%;73.611;20,7%;1.199;0,3%;205.824;57,8%;52.547;14,8%;356.035;
"88";"SAN ANDRES PROVIDENCIA Y SANTA CATALINA";0;0,0%;0;0,0%;0;0,0%;4.972;100,0%;0;0,0%;4.972;
"68";"SANTANDER";506.328;16,6%;535.316;17,5%;77.395;2,5%;1.613.291;52,8%;321.996;10,5%;3.054.326;
"70";"SUCRE";82.390;7,7%;190.979;17,8%;76.733;7,2%;692.789;64,6%;28.968;2,7%;1.071.860;
"73";"TOLIMA";244.166;10,1%;378.115;15,7%;61.076;2,5%;1.321.327;54,7%;410.336;17,0%;2.415.020;
"76";"VALLE DEL CAUCA";134.602;6,5%;212.555;10,2%;59.496;2,9%;1.158.044;55,8%;512.108;24,7%;2.076.805;
"97";"VAUPES";0;0,0%;23.338;0,4%;18.039;0,3%;4.721.067;88,4%;580.733;10,9%;5.343.179;
"99";"VICHADA";8.258;0,1%;924.456;9,2%;1.362.946;13,6%;7.150.014;71,4%;563.083;5,6%;10.008.757;
