"Código DANE";"Departamento";"Aptitud Alta (ha)";"Alta";"Aptitud Media (ha)";"Media";"Aptitud Baja (ha)";"Baja";"No Apta (ha)";"No Apta";"Exclusiones Legales (ha)";"Exclusiones Legales";"Área de Estudio (ha)";
"91";"AMAZONAS";3.956;0,0%;4.382;0,0%;17.385;0,2%;8.570.899;78,6%;2.307.064;21,2%;10.903.686;
"05";"ANTIOQUIA";432.176;6,9%;1.002.792;15,9%;291.169;4,6%;4.115.624;65,4%;454.538;7,2%;6.296.299;
"81";"ARAUCA";4.187;0,2%;199.636;8,4%;169.031;7,1%;1.827.709;76,7%;182.573;7,7%;2.383.135;
"08";"ATLANTICO";394;0,1%;58.047;17,5%;59.162;17,9%;193.816;58,5%;19.741;6,0%;331.159;
"13";"BOLIVAR";97.971;3,7%;301.310;11,3%;236.977;8,9%;2.009.972;75,4%;19.265;0,7%;2.665.496;
"15";"BOYACA";29.431;1,3%;100.953;4,4%;147.276;6,4%;1.395.471;60,2%;644.402;27,8%;2.317.531;
"17";"CALDAS";25.295;3,4%;155.856;21,0%;63.401;8,5%;436.582;58,7%;62.756;8,4%;743.890;
"18";"CAQUETA";448.154;5,0%;795.807;8,8%;113.689;1,3%;5.111.320;56,7%;2.541.853;28,2%;9.010.823;
"85";"CASANARE";101.768;2,3%;178.127;4,0%;206.178;4,6%;3.924.496;88,5%;23.570;0,5%;4.434.139;
"19";"CAUCA";9.496;0,3%;158.852;5,1%;221.458;7,1%;2.233.957;71,5%;501.367;16,0%;3.125.130;
"20";"CESAR";98.014;4,3%;368.723;16,3%;208.233;9,2%;1.493.331;66,2%;88.249;3,9%;2.256.550;
"27";"CHOCO";1;0,0%;18.799;0,4%;156.596;3,2%;4.412.569;91,5%;236.379;4,9%;4.824.344;
"23";"CORDOBA";456.401;18,3%;631.033;25,2%;171.709;6,9%;830.635;33,2%;410.080;16,4%;2.499.858;
"25";"CUNDINAMARCA";44.741;1,9%;333.022;13,9%;115.368;4,8%;1.458.465;60,8%;446.842;18,6%;2.398.439;
"94";"GUAINIA";0;0,0%;110;0,0%;19.979;0,3%;6.016.221;84,3%;1.104.077;15,5%;7.140.386;
"95";"GUAVIARE";85.238;1,5%;74.257;1,3%;127.161;2,3%;3.970.190;71,4%;1.301.065;23,4%;5.557.912;
"41";"HUILA";40.478;2,2%;283.790;15,6%;119.312;6,6%;1.035.391;57,1%;334.563;18,4%;1.813.533;
"44";"LA GUAJIRA";48.766;2,4%;104.885;5,1%;37.524;1,8%;1.644.846;79,8%;225.916;11,0%;2.061.936;
"47";"MAGDALENA";53.703;2,3%;299.638;12,9%;152.673;6,6%;1.520.436;65,7%;287.988;12,4%;2.314.438;
"50";"META";1.673.451;19,6%;1.010.526;11,8%;320.280;3,7%;4.267.766;49,9%;1.283.003;15,0%;8.555.025;
"52";"NARINO";4.485;0,1%;127.380;4,0%;179.383;5,7%;2.498.512;79,3%;339.992;10,8%;3.149.751;
"54";"NORTE DE SANTANDER";55.585;2,5%;124.732;5,7%;168.649;7,7%;1.418.228;65,0%;415.511;19,0%;2.182.705;
"86";"PUTUMAYO";109;0,0%;57.875;2,2%;361.333;14,0%;1.647.042;63,7%;518.273;20,1%;2.584.632;
"63";"QUINDIO";11.801;6,1%;49.538;25,6%;3.762;1,9%;104.353;54,0%;23.764;12,3%;193.217;
"66";"RISARALDA";12.348;3,5%;42.529;11,9%;40.931;11,5%;207.681;58,3%;52.547;14,8%;356.035;
"88";"SAN ANDRES PROVIDENCIA Y SANTA CATALINA";0;0,0%;0;0,0%;0;0,0%;4.972;100,0%;0;0,0%;4.972;
"68";"SANTANDER";473.345;15,5%;482.094;15,8%;172.905;5,7%;1.603.985;52,5%;321.996;10,5%;3.054.326;
"70";"SUCRE";91.931;8,6%;189.861;17,7%;68.833;6,4%;692.267;64,6%;28.968;2,7%;1.071.860;
"73";"TOLIMA";124.825;5,2%;328.378;13,6%;258.884;10,7%;1.292.597;53,5%;410.336;17,0%;2.415.020;
"76";"VALLE DEL CAUCA";40.967;2,0%;167.737;8,1%;83.330;4,0%;1.272.662;61,3%;512.108;24,7%;2.076.805;
"97";"VAUPES";0;0,0%;9.502;0,2%;31.537;0,6%;4.721.406;88,4%;580.733;10,9%;5.343.179;
"99";"VICHADA";878.336;8,8%;1.355.476;13,5%;57.488;0,6%;7.154.375;71,5%;563.083;5,6%;10.008.757;
