"Código DANE";"Departamento";"Aptitud Alta (ha)";"Alta";"Aptitud Media (ha)";"Media";"Aptitud Baja (ha)";"Baja";"No Apta (ha)";"No Apta";"Exclusiones Legales (ha)";"Exclusiones Legales";"Área de Estudio (ha)";
"91";"AMAZONAS";0;0,0%;0;0,0%;0;0,0%;8.596.622;78,8%;2.307.064;21,2%;10.903.686;
"05";"ANTIOQUIA";284.825;4,5%;266.775;4,2%;84.076;1,3%;5.206.085;82,7%;454.538;7,2%;6.296.299;
"81";"ARAUCA";0;0,0%;0;0,0%;0;0,0%;2.200.562;92,3%;182.573;7,7%;2.383.135;
"08";"ATLANTICO";0;0,0%;0;0,0%;0;0,0%;311.419;94,0%;19.741;6,0%;331.159;
"13";"BOLIVAR";0;0,0%;138;0,0%;5.813;0,2%;2.640.280;99,1%;19.265;0,7%;2.665.496;
"15";"BOYACA";141.768;6,1%;232.563;10,0%;57.450;2,5%;1.241.348;53,6%;644.402;27,8%;2.317.531;
"17";"CALDAS";39.858;5,4%;81.926;11,0%;10.693;1,4%;548.657;73,8%;62.756;8,4%;743.890;
"18";"CAQUETA";334;0,0%;7.927;0,1%;3.934;0,0%;6.456.775;71,7%;2.541.853;28,2%;9.010.823;
"85";"CASANARE";0;0,0%;125;0,0%;1.629;0,0%;4.408.815;99,4%;23.570;0,5%;4.434.139;
"19";"CAUCA";95.353;3,1%;246.747;7,9%;132.147;4,2%;2.149.516;68,8%;501.367;16,0%;3.125.130;
"20";"CESAR";5;0,0%;5.537;0,2%;16.689;0,7%;2.146.070;95,1%;88.249;3,9%;2.256.550;
"27";"CHOCO";0;0,0%;443;0,0%;4.814;0,1%;4.582.708;95,0%;236.379;4,9%;4.824.344;
"23";"CORDOBA";0;0,0%;0;0,0%;0;0,0%;2.089.778;83,6%;410.080;16,4%;2.499.858;
"25";"CUNDINAMARCA";243.193;10,1%;275.979;11,5%;44.281;1,8%;1.388.145;57,9%;446.842;18,6%;2.398.439;
"94";"GUAINIA";0;0,0%;0;0,0%;0;0,0%;6.036.309;84,5%;1.104.077;15,5%;7.140.386;
"95";"GUAVIARE";0;0,0%;0;0,0%;0;0,0%;4.256.847;76,6%;1.301.065;23,4%;5.557.912;
"41";"HUILA";47.628;2,6%;119.988;6,6%;107.998;6,0%;1.203.357;66,4%;334.563;18,4%;1.813.533;
"44";"LA GUAJIRA";0;0,0%;78;0,0%;1.605;0,1%;1.834.337;89,0%;225.916;11,0%;2.061.936;
"47";"MAGDALENA";105;0,0%;7.915;0,3%;2.789;0,1%;2.015.642;87,1%;287.988;12,4%;2.314.438;
"50";"META";587;0,0%;2.757;0,0%;73;0,0%;7.268.605;85,0%;1.283.003;15,0%;8.555.025;
"52";"NARINO";96.621;3,1%;178.875;5,7%;58.594;1,9%;2.475.669;78,6%;339.992;10,8%;3.149.751;
"54";"NORTE DE SANTANDER";30.194;1,4%;68.759;3,2%;29.087;1,3%;1.639.154;75,1%;415.511;19,0%;2.182.705;
"86";"PUTUMAYO";11.512;0,4%;4.828;0,2%;0;0,0%;2.050.020;79,3%;518.273;20,1%;2.584.632;
"63";"QUINDIO";686;0,4%;30.501;15,8%;21.380;11,1%;116.886;60,5%;23.764;12,3%;193.217;
"66";"RISARALDA";15.140;4,3%;44.448;12,5%;9.628;2,7%;234.273;65,8%;52.547;14,8%;356.035;
"88";"SAN ANDRES PROVIDENCIA Y SANTA CATALINA";0;0,0%;0;0,0%;0;0,0%;4.972;100,0%;0;0,0%;4.972;
"68";"SANTANDER";56.873;1,9%;183.363;6,0%;90.686;3,0%;2.401.408;78,6%;321.996;10,5%;3.054.326;
"70";"SUCRE";0;0,0%;0;0,0%;0;0,0%;1.042.892;97,3%;28.968;2,7%;1.071.860;
"73";"TOLIMA";7.830;0,3%;94.423;3,9%;85.801;3,6%;1.816.630;75,2%;410.336;17,0%;2.415.020;
"76";"VALLE DEL CAUCA";50.344;2,4%;87.787;4,2%;14.880;0,7%;1.411.686;68,0%;512.108;24,7%;2.076.805;
"97";"VAUPES";0;0,0%;0;0,0%;0;0,0%;4.762.445;89,1%;580.733;10,9%;5.343.179;
"99";"VICHADA";0;0,0%;0;0,0%;0;0,0%;9.445.675;94,4%;563.083;5,6%;10.008.757;
