"Código DANE";"Departamento";"Aptitud Alta (ha)";"Alta";"Aptitud Media (ha)";"Media";"Aptitud Baja (ha)";"Baja";"No Apta (ha)";"No Apta";"Exclusiones Legales (ha)";"Exclusiones Legales";"Área de Estudio (ha)";
"91";"AMAZONAS";0;0,0%;5.752;0,1%;19.673;0,2%;8.571.197;78,6%;2.307.064;21,2%;10.903.686;
"05";"ANTIOQUIA";399.215;6,3%;838.634;13,3%;428.893;6,8%;4.175.019;66,3%;454.538;7,2%;6.296.299;
"81";"ARAUCA";29.245;1,2%;38.816;1,6%;382;0,0%;2.132.119;89,5%;182.573;7,7%;2.383.135;
"08";"ATLANTICO";14.202;4,3%;61.452;18,6%;78.768;23,8%;156.996;47,4%;19.741;6,0%;331.159;
"13";"BOLIVAR";30.101;1,1%;253.652;9,5%;301.391;11,3%;2.061.087;77,3%;19.265;0,7%;2.665.496;
"15";"BOYACA";23.348;1,0%;106.508;4,6%;52.057;2,2%;1.491.217;64,3%;644.402;27,8%;2.317.531;
"17";"CALDAS";89.084;12,0%;95.239;12,8%;30.806;4,1%;466.005;62,6%;62.756;8,4%;743.890;
"18";"CAQUETA";13.897;0,2%;965.671;10,7%;228.671;2,5%;5.260.730;58,4%;2.541.853;28,2%;9.010.823;
"85";"CASANARE";60.371;1,4%;179.082;4,0%;67.127;1,5%;4.103.990;92,6%;23.570;0,5%;4.434.139;
"19";"CAUCA";99.940;3,2%;307.148;9,8%;162.999;5,2%;2.053.676;65,7%;501.367;16,0%;3.125.130;
"20";"CESAR";132.870;5,9%;443.951;19,7%;129.491;5,7%;1.461.990;64,8%;88.249;3,9%;2.256.550;
"27";"CHOCO";98;0,0%;22.600;0,5%;92.474;1,9%;4.472.793;92,7%;236.379;4,9%;4.824.344;
"23";"CORDOBA";153.858;6,2%;605.911;24,2%;367.554;14,7%;962.455;38,5%;410.080;16,4%;2.499.858;
"25";"CUNDINAMARCA";139.276;5,8%;232.964;9,7%;40.508;1,7%;1.538.849;64,2%;446.842;18,6%;2.398.439;
"94";"GUAINIA";0;0,0%;7.007;0,1%;20.814;0,3%;6.008.488;84,1%;1.104.077;15,5%;7.140.386;
"95";"GUAVIARE";154;0,0%;156.564;2,8%;130.778;2,4%;3.969.351;71,4%;1.301.065;23,4%;5.557.912;
"41";"HUILA";85.405;4,7%;337.773;18,6%;140.507;7,7%;915.287;50,5%;334.563;18,4%;1.813.533;
"44";"LA GUAJIRA";38.766;1,9%;122.640;5,9%;62.482;3,0%;1.612.132;78,2%;225.916;11,0%;2.061.936;
"47";"MAGDALENA";147.672;6,4%;200.815;8,7%;177.863;7,7%;1.500.101;64,8%;287.988;12,4%;2.314.438;
"50";"META";190.901;2,2%;1.681.056;19,6%;654.912;7,7%;4.745.153;55,5%;1.283.003;15,0%;8.555.025;
"52";"NARINO";6.761;0,2%;210.113;6,7%;82.032;2,6%;2.510.853;79,7%;339.992;10,8%;3.149.751;
"54";"NORTE DE SANTANDER";70.725;3,2%;115.503;5,3%;101.278;4,6%;1.479.688;67,8%;415.511;19,0%;2.182.705;
"86";"PUTUMAYO";5.115;0,2%;16.837;0,7%;223.044;8,6%;1.821.363;70,5%;518.273;20,1%;2.584.632;
"63";"QUINDIO";65.043;33,7%;15.846;8,2%;80;0,0%;88.484;45,8%;23.764;12,3%;193.217;
"66";"RISARALDA";27.978;7,9%;60.111;16,9%;40.349;11,3%;175.050;49,2%;52.547;14,8%;356.035;
"88";"SAN ANDRES PROVIDENCIA Y SANTA CATALINA";0;0,0%;0;0,0%;0;0,0%;4.972;100,0%;0;0,0%;4.972;
"68";"SANTANDER";194.022;6,4%;411.325;13,5%;379.230;12,4%;1.747.753;57,2%;321.996;10,5%;3.054.326;
"70";"SUCRE";13.898;1,3%;239.888;22,4%;38.299;3,6%;750.806;70,0%;28.968;2,7%;1.071.860;
"73";"TOLIMA";79.894;3,3%;321.220;13,3%;142.440;5,9%;1.461.130;60,5%;410.336;17,0%;2.415.020;
"76";"VALLE DEL CAUCA";216.725;10,4%;226.372;10,9%;25.073;1,2%;1.096.526;52,8%;512.108;24,7%;2.076.805;
"97";"VAUPES";0;0,0%;0;0,0%;23.750;0,4%;4.738.695;88,7%;580.733;10,9%;5.343.179;
"99";"VICHADA";60;0,0%;578.016;5,8%;1.732.115;17,3%;7.135.483;71,3%;563.083;5,6%;10.008.757;
