"Código DANE";"Departamento";"Aptitud Alta (ha)";"Alta";"Aptitud Media (ha)";"Media";"Aptitud Baja (ha)";"Baja";"No Apta (ha)";"No Apta";"Exclusiones Legales (ha)";"Exclusiones Legales";"Área de Estudio (ha)";
"91";"AMAZONAS";0;0,0%;1.410;0,0%;24.164;0,2%;8.571.049;78,6%;2.307.064;21,2%;10.903.686;
"05";"ANTIOQUIA";206.845;3,3%;460.425;7,3%;591.878;9,4%;4.582.613;72,8%;454.538;7,2%;6.296.299;
"81";"ARAUCA";48.774;2,0%;19.908;0,8%;1;0,0%;2.131.879;89,5%;182.573;7,7%;2.383.135;
"08";"ATLANTICO";16.412;5,0%;38.181;11,5%;79.617;24,0%;177.208;53,5%;19.741;6,0%;331.159;
"13";"BOLIVAR";40.455;1,5%;159.111;6,0%;370.888;13,9%;2.075.777;77,9%;19.265;0,7%;2.665.496;
"15";"BOYACA";39.075;1,7%;46.661;2,0%;59.864;2,6%;1.527.529;65,9%;644.402;27,8%;2.317.531;
"17";"CALDAS";27.965;3,8%;62.188;8,4%;57.845;7,8%;533.137;71,7%;62.756;8,4%;743.890;
"18";"CAQUETA";6.355;0,1%;723.874;8,0%;464.311;5,2%;5.274.431;58,5%;2.541.853;28,2%;9.010.823;
"85";"CASANARE";117.151;2,6%;102.102;2,3%;77.823;1,8%;4.113.493;92,8%;23.570;0,5%;4.434.139;
"19";"CAUCA";41.076;1,3%;126.796;4,1%;126.653;4,1%;2.329.238;74,5%;501.367;16,0%;3.125.130;
"20";"CESAR";101.176;4,5%;353.291;15,7%;167.556;7,4%;1.546.279;68,5%;88.249;3,9%;2.256.550;
"27";"CHOCO";0;0,0%;9.889;0,2%;101.974;2,1%;4.476.101;92,8%;236.379;4,9%;4.824.344;
"23";"CORDOBA";361.581;14,5%;334.148;13,4%;347.430;13,9%;1.046.619;41,9%;410.080;16,4%;2.499.858;
"25";"CUNDINAMARCA";58.990;2,5%;145.391;6,1%;105.717;4,4%;1.641.499;68,4%;446.842;18,6%;2.398.439;
"94";"GUAINIA";0;0,0%;5.010;0,1%;22.908;0,3%;6.008.391;84,1%;1.104.077;15,5%;7.140.386;
"95";"GUAVIARE";213;0,0%;135.087;2,4%;151.055;2,7%;3.970.492;71,4%;1.301.065;23,4%;5.557.912;
"41";"HUILA";3.790;0,2%;90.501;5,0%;238.706;13,2%;1.145.973;63,2%;334.563;18,4%;1.813.533;
"44";"LA GUAJIRA";18.745;0,9%;85.214;4,1%;102.137;5,0%;1.629.924;79,0%;225.916;11,0%;2.061.936;
"47";"MAGDALENA";196.646;8,5%;108.073;4,7%;193.147;8,3%;1.528.585;66,0%;287.988;12,4%;2.314.438;
"50";"META";400.900;4,7%;1.474.927;17,2%;640.935;7,5%;4.755.260;55,6%;1.283.003;15,0%;8.555.025;
"52";"NARINO";976;0,0%;74.264;2,4%;117.335;3,7%;2.617.183;83,1%;339.992;10,8%;3.149.751;
"54";"NORTE DE SANTANDER";11.022;0,5%;91.090;4,2%;96.945;4,4%;1.568.138;71,8%;415.511;19,0%;2.182.705;
"86";"PUTUMAYO";0;0,0%;7.421;0,3%;237.655;9,2%;1.821.283;70,5%;518.273;20,1%;2.584.632;
"63";"QUINDIO";38.100;19,7%;21.310;11,0%;2.154;1,1%;107.890;55,8%;23.764;12,3%;193.217;
"66";"RISARALDA";9.436;2,7%;20.860;5,9%;42.775;12,0%;230.418;64,7%;52.547;14,8%;356.035;
"88";"SAN ANDRES PROVIDENCIA Y SANTA CATALINA";0;0,0%;0;0,0%;0;0,0%;4.972;100,0%;0;0,0%;4.972;
"68";"SANTANDER";44.884;1,5%;233.017;7,6%;516.174;16,9%;1.938.255;63,5%;321.996;10,5%;3.054.326;
"70";"SUCRE";129.958;12,1%;143.644;13,4%;17.072;1,6%;752.218;70,2%;28.968;2,7%;1.071.860;
"73";"TOLIMA";47.942;2,0%;112.783;4,7%;257.414;10,7%;1.586.545;65,7%;410.336;17,0%;2.415.020;
"76";"VALLE DEL CAUCA";76.591;3,7%;150.056;7,2%;102.168;4,9%;1.235.882;59,5%;512.108;24,7%;2.076.805;
"97";"VAUPES";0;0,0%;0;0,0%;23.750;0,4%;4.738.695;88,7%;580.733;10,9%;5.343.179;
"99";"VICHADA";0;0,0%;900.847;9,0%;1.403.722;14,0%;7.141.105;71,3%;563.083;5,6%;10.008.757;
