"Código DANE";"Departamento";"Aptitud Alta (ha)";"Alta";"Aptitud Media (ha)";"Media";"Aptitud Baja (ha)";"Baja";"No Apta (ha)";"No Apta";"Exclusiones Legales (ha)";"Exclusiones Legales";"Área de Estudio (ha)";
"91";"AMAZONAS";0;0,0%;508;0,0%;172;0,0%;8.595.942;78,8%;2.307.064;21,2%;10.903.686;
"05";"ANTIOQUIA";455.997;7,2%;748.769;11,9%;388.171;6,2%;4.248.823;67,5%;454.538;7,2%;6.296.299;
"81";"ARAUCA";17.729;0,7%;85.648;3,6%;106.095;4,5%;1.991.090;83,5%;182.573;7,7%;2.383.135;
"08";"ATLANTICO";16.981;5,1%;47.453;14,3%;93.013;28,1%;153.972;46,5%;19.741;6,0%;331.159;
"13";"BOLIVAR";61.115;2,3%;173.353;6,5%;374.032;14,0%;2.037.730;76,4%;19.265;0,7%;2.665.496;
"15";"BOYACA";73.009;3,2%;161.065;6,9%;91.582;4,0%;1.347.474;58,1%;644.402;27,8%;2.317.531;
"17";"CALDAS";65.948;8,9%;118.236;15,9%;49.092;6,6%;447.858;60,2%;62.756;8,4%;743.890;
"18";"CAQUETA";198.359;2,2%;192.316;2,1%;32.529;0,4%;6.045.765;67,1%;2.541.853;28,2%;9.010.823;
"85";"CASANARE";26.536;0,6%;155.546;3,5%;52.026;1,2%;4.176.460;94,2%;23.570;0,5%;4.434.139;
"19";"CAUCA";218.620;7,0%;284.930;9,1%;173.964;5,6%;1.946.249;62,3%;501.367;16,0%;3.125.130;
"20";"CESAR";204.557;9,1%;307.065;13,6%;197.839;8,8%;1.458.841;64,6%;88.249;3,9%;2.256.550;
"27";"CHOCO";0;0,0%;16.076;0,3%;47.588;1,0%;4.524.301;93,8%;236.379;4,9%;4.824.344;
"23";"CORDOBA";315.248;12,6%;478.248;19,1%;519.317;20,8%;776.965;31,1%;410.080;16,4%;2.499.858;
"25";"CUNDINAMARCA";201.500;8,4%;279.740;11,7%;86.447;3,6%;1.383.910;57,7%;446.842;18,6%;2.398.439;
"94";"GUAINIA";0;0,0%;841;0,0%;6.644;0,1%;6.028.825;84,4%;1.104.077;15,5%;7.140.386;
"95";"GUAVIARE";20.512;0,4%;129.558;2,3%;95.647;1,7%;4.011.130;72,2%;1.301.065;23,4%;5.557.912;
"41";"HUILA";99.361;5,5%;281.011;15,5%;288.611;15,9%;809.988;44,7%;334.563;18,4%;1.813.533;
"44";"LA GUAJIRA";52.199;2,5%;112.704;5,5%;54.896;2,7%;1.616.221;78,4%;225.916;11,0%;2.061.936;
"47";"MAGDALENA";179.554;7,8%;159.536;6,9%;168.029;7,3%;1.519.331;65,6%;287.988;12,4%;2.314.438;
"50";"META";261.745;3,1%;1.794.956;21,0%;343.322;4,0%;4.871.999;56,9%;1.283.003;15,0%;8.555.025;
"52";"NARINO";26.913;0,9%;181.883;5,8%;57.110;1,8%;2.543.853;80,8%;339.992;10,8%;3.149.751;
"54";"NORTE DE SANTANDER";24.374;1,1%;164.622;7,5%;136.435;6,3%;1.441.764;66,1%;415.511;19,0%;2.182.705;
"86";"PUTUMAYO";0;0,0%;7.760;0,3%;34.366;1,3%;2.024.234;78,3%;518.273;20,1%;2.584.632;
"63";"QUINDIO";64.417;33,3%;43.480;22,5%;3.805;2,0%;57.751;29,9%;23.764;12,3%;193.217;
"66";"RISARALDA";45.424;12,8%;79.187;22,2%;26.760;7,5%;152.117;42,7%;52.547;14,8%;356.035;
"88";"SAN ANDRES PROVIDENCIA Y SANTA CATALINA";0;0,0%;0;0,0%;0;0,0%;4.972;100,0%;0;0,0%;4.972;
"68";"SANTANDER";109.065;3,6%;470.954;15,4%;496.377;16,3%;1.655.934;54,2%;321.996;10,5%;3.054.326;
"70";"SUCRE";171.874;16,0%;114.042;10,6%;29.526;2,8%;727.450;67,9%;28.968;2,7%;1.071.860;
"73";"TOLIMA";124.032;5,1%;355.063;14,7%;216.663;9,0%;1.308.926;54,2%;410.336;17,0%;2.415.020;
"76";"VALLE DEL CAUCA";259.343;12,5%;189.902;9,1%;63.393;3,1%;1.052.059;50,7%;512.108;24,7%;2.076.805;
"97";"VAUPES";0;0,0%;0;0,0%;0;0,0%;4.762.445;89,1%;580.733;10,9%;5.343.179;
"99";"VICHADA";591;0,0%;1.904.817;19,0%;490.684;4,9%;7.049.582;70,4%;563.083;5,6%;10.008.757;
