"Código DANE";"Departamento";"Aptitud Alta (ha)";"Alta";"Aptitud Media (ha)";"Media";"Aptitud Baja (ha)";"Baja";"No Apta (ha)";"No Apta";"Exclusiones Legales (ha)";"Exclusiones Legales";"Área de Estudio (ha)";
"91";"AMAZONAS";0;0,0%;19.776;0,2%;5.373;0,0%;8.571.473;78,6%;2.307.064;21,2%;10.903.686;
"05";"ANTIOQUIA";306.405;4,9%;700.564;11,1%;504.782;8,0%;4.330.010;68,8%;454.538;7,2%;6.296.299;
"81";"ARAUCA";77;0,0%;68.316;2,9%;447;0,0%;2.131.723;89,5%;182.573;7,7%;2.383.135;
"08";"ATLANTICO";25.548;7,7%;35.950;10,9%;75.675;22,9%;174.246;52,6%;19.741;6,0%;331.159;
"13";"BOLIVAR";94.884;3,6%;210.383;7,9%;281.790;10,6%;2.059.174;77,3%;19.265;0,7%;2.665.496;
"15";"BOYACA";37.631;1,6%;71.097;3,1%;104.271;4,5%;1.460.130;63,0%;644.402;27,8%;2.317.531;
"17";"CALDAS";28.026;3,8%;140.310;18,9%;46.960;6,3%;465.838;62,6%;62.756;8,4%;743.890;
"18";"CAQUETA";87.106;1,0%;1.035.050;11,5%;179.090;2,0%;5.167.724;57,4%;2.541.853;28,2%;9.010.823;
"85";"CASANARE";98.498;2,2%;134.719;3,0%;68.624;1,5%;4.108.728;92,7%;23.570;0,5%;4.434.139;
"19";"CAUCA";77.199;2,5%;275.942;8,8%;156.842;5,0%;2.113.780;67,6%;501.367;16,0%;3.125.130;
"20";"CESAR";129.189;5,7%;359.388;15,9%;150.648;6,7%;1.529.077;67,8%;88.249;3,9%;2.256.550;
"27";"CHOCO";2;0,0%;33.645;0,7%;88.372;1,8%;4.465.946;92,6%;236.379;4,9%;4.824.344;
"23";"CORDOBA";577.837;23,1%;287.923;11,5%;351.897;14,1%;872.121;34,9%;410.080;16,4%;2.499.858;
"25";"CUNDINAMARCA";69.996;2,9%;290.910;12,1%;118.826;5,0%;1.471.864;61,4%;446.842;18,6%;2.398.439;
"94";"GUAINIA";0;0,0%;6.568;0,1%;21.138;0,3%;6.008.603;84,1%;1.104.077;15,5%;7.140.386;
"95";"GUAVIARE";474;0,0%;166.181;3,0%;140.723;2,5%;3.949.469;71,1%;1.301.065;23,4%;5.557.912;
"41";"HUILA";44.506;2,5%;186.956;10,3%;269.495;14,9%;978.014;53,9%;334.563;18,4%;1.813.533;
"44";"LA GUAJIRA";60.595;2,9%;56.892;2,8%;32.052;1,6%;1.686.481;81,8%;225.916;11,0%;2.061.936;
"47";"MAGDALENA";178.074;7,7%;133.058;5,7%;193.277;8,4%;1.522.042;65,8%;287.988;12,4%;2.314.438;
"50";"META";503.807;5,9%;1.863.329;21,8%;177.023;2,1%;4.727.863;55,3%;1.283.003;15,0%;8.555.025;
"52";"NARINO";8.354;0,3%;115.607;3,7%;109.688;3,5%;2.576.109;81,8%;339.992;10,8%;3.149.751;
"54";"NORTE DE SANTANDER";32.310;1,5%;124.674;5,7%;155.711;7,1%;1.454.499;66,6%;415.511;19,0%;2.182.705;
"86";"PUTUMAYO";707;0,0%;41.451;1,6%;204.822;7,9%;1.819.381;70,4%;518.273;20,1%;2.584.632;
"63";"QUINDIO";43.547;22,5%;35.902;18,6%;8.764;4,5%;81.240;42,0%;23.764;12,3%;193.217;
"66";"RISARALDA";21.681;6,1%;66.772;18,8%;44.552;12,5%;170.484;47,9%;52.547;14,8%;356.035;
"88";"SAN ANDRES PROVIDENCIA Y SANTA CATALINA";0;0,0%;0;0,0%;0;0,0%;4.972;100,0%;0;0,0%;4.972;
"68";"SANTANDER";92.290;3,0%;407.492;13,3%;523.190;17,1%;1.709.357;56,0%;321.996;10,5%;3.054.326;
"70";"SUCRE";243.954;22,8%;59.026;5,5%;11.910;1,1%;728.002;67,9%;28.968;2,7%;1.071.860;
"73";"TOLIMA";140.487;5,8%;227.899;9,4%;231.409;9,6%;1.404.889;58,2%;410.336;17,0%;2.415.020;
"76";"VALLE DEL CAUCA";98.260;4,7%;221.898;10,7%;50.471;2,4%;1.194.067;57,5%;512.108;24,7%;2.076.805;
"97";"VAUPES";0;0,0%;350;0,0%;26.951;0,5%;4.735.144;88,6%;580.733;10,9%;5.343.179;
"99";"VICHADA";0;0,0%;2.161.419;21,6%;151.141;1,5%;7.133.115;71,3%;563.083;5,6%;10.008.757;
