"Código DANE";"Departamento";"Aptitud Alta (ha)";"Alta";"Aptitud Media (ha)";"Media";"Aptitud Baja (ha)";"Baja";"No Apta (ha)";"No Apta";"Exclusiones Legales (ha)";"Exclusiones Legales";"Área de Estudio (ha)";
"91";"AMAZONAS";18.481;0,2%;45.473;0,4%;19.379;0,2%;8.513.293;78,1%;2.307.060;21,2%;10.903.686;
"05";"ANTIOQUIA";2.527.224;40,1%;970.326;15,4%;95.797;1,5%;2.186.268;34,7%;516.685;8,2%;6.296.299;
"81";"ARAUCA";8.548;0,4%;191.079;8,0%;661.215;27,7%;1.339.719;56,2%;182.575;7,7%;2.383.135;
"08";"ATLANTICO";207.991;62,8%;19.449;5,9%;0;0,0%;76.806;23,2%;26.913;8,1%;331.159;
"13";"BOLIVAR";631.772;23,7%;508.441;19,1%;85.832;3,2%;1.416.624;53,1%;22.828;0,9%;2.665.496;
"15";"BOYACA";499.301;21,5%;561.785;24,2%;71.964;3,1%;523.833;22,6%;660.648;28,5%;2.317.531;
"17";"CALDAS";378.384;50,9%;117.227;15,8%;52;0,0%;170.365;22,9%;77.862;10,5%;743.890;
"18";"CAQUETA";543.429;6,0%;1.157.685;12,8%;176.504;2,0%;4.589.282;50,9%;2.543.922;28,2%;9.010.823;
"85";"CASANARE";197.000;4,4%;828.480;18,7%;1.122.420;25,3%;2.259.838;51,0%;26.401;0,6%;4.434.139;
"19";"CAUCA";542.427;17,4%;652.284;20,9%;165.335;5,3%;1.211.847;38,8%;553.238;17,7%;3.125.130;
"20";"CESAR";680.477;30,2%;829.935;36,8%;76;0,0%;631.285;28,0%;114.776;5,1%;2.256.550;
"27";"CHOCO";57.900;1,2%;326.097;6,8%;326.346;6,8%;3.832.230;79,4%;281.771;5,8%;4.824.344;
"23";"CORDOBA";1.137.912;45,5%;527.767;21,1%;113.331;4,5%;306.786;12,3%;414.062;16,6%;2.499.858;
"25";"CUNDINAMARCA";766.926;32,0%;745.815;31,1%;26.303;1,1%;391.773;16,3%;467.621;19,5%;2.398.439;
"94";"GUAINIA";0;0,0%;79;0,0%;67.868;1,0%;5.768.178;80,8%;1.304.261;18,3%;7.140.386;
"95";"GUAVIARE";0;0,0%;94.818;1,7%;445.813;8,0%;3.716.171;66,9%;1.301.109;23,4%;5.557.912;
"41";"HUILA";311.273;17,2%;627.512;34,6%;183.134;10,1%;358.069;19,7%;333.546;18,4%;1.813.533;
"44";"LA GUAJIRA";311.495;15,1%;143.573;7,0%;3.984;0,2%;1.366.992;66,3%;235.892;11,4%;2.061.936;
"47";"MAGDALENA";1.042.405;45,0%;78.310;3,4%;0;0,0%;400.738;17,3%;792.986;34,3%;2.314.438;
"50";"META";670.785;7,8%;2.430.678;28,4%;1.169.398;13,7%;2.959.189;34,6%;1.324.975;15,5%;8.555.025;
"52";"NARINO";141.008;4,5%;569.296;18,1%;467.129;14,8%;1.624.716;51,6%;347.603;11,0%;3.149.751;
"54";"NORTE DE SANTANDER";110.560;5,1%;678.833;31,1%;260.428;11,9%;708.474;32,5%;424.411;19,4%;2.182.705;
"86";"PUTUMAYO";32.027;1,2%;332.288;12,9%;246.582;9,5%;1.455.446;56,3%;518.289;20,1%;2.584.632;
"63";"QUINDIO";65.865;34,1%;72.046;37,3%;2.605;1,3%;18.668;9,7%;34.033;17,6%;193.217;
"66";"RISARALDA";164.414;46,2%;47.240;13,3%;0;0,0%;88.702;24,9%;55.679;15,6%;356.035;
"88";"SAN ANDRES PROVIDENCIA Y SANTA CATALINA";0;0,0%;0;0,0%;0;0,0%;4.972;100,0%;0;0,0%;4.972;
"68";"SANTANDER";897.669;29,4%;1.051.810;34,4%;49.906;1,6%;710.044;23,2%;344.897;11,3%;3.054.326;
"70";"SUCRE";339.328;31,7%;263.443;24,6%;85.782;8,0%;351.303;32,8%;32.005;3,0%;1.071.860;
"73";"TOLIMA";439.561;18,2%;983.913;40,7%;135.592;5,6%;423.649;17,5%;432.306;17,9%;2.415.020;
"76";"VALLE DEL CAUCA";571.304;27,5%;394.581;19,0%;36.298;1,7%;526.680;25,4%;547.942;26,4%;2.076.805;
"97";"VAUPES";35;0,0%;29.514;0,6%;97.928;1,8%;4.634.933;86,7%;580.768;10,9%;5.343.179;
"99";"VICHADA";0;0,0%;1.353.911;13,5%;2.352.533;23,5%;5.686.553;56,8%;615.760;6,2%;10.008.757;
