"Código DANE";"Departamento";"Aptitud Alta (ha)";"Alta";"Aptitud Media (ha)";"Media";"Aptitud Baja (ha)";"Baja";"No Apta (ha)";"No Apta";"Exclusiones Legales (ha)";"Exclusiones Legales";"Área de Estudio (ha)";
"91";"AMAZONAS";0;0,0%;4.784;0,0%;18.130;0,2%;10.868.706;99,8%;0;0,0%;10.891.621;
"05";"ANTIOQUIA";1.507.453;23,9%;764.671;12,1%;479.591;7,6%;3.543.090;56,3%;0;0,0%;6.294.806;
"81";"ARAUCA";20.880;0,9%;157.756;6,6%;433.056;18,2%;1.768.446;74,3%;0;0,0%;2.380.138;
"08";"ATLÁNTICO";74.367;22,5%;23.916;7,2%;1.330;0,4%;231.166;69,9%;0;0,0%;330.780;
"13";"BOLÍVAR";238.418;8,9%;186.181;7,0%;178.454;6,7%;2.061.538;77,4%;0;0,0%;2.664.591;
"15";"BOYACÁ";342.758;14,8%;179.383;7,7%;246.432;10,6%;1.548.902;66,8%;0;0,0%;2.317.476;
"17";"CALDAS";176.777;23,8%;83.591;11,2%;44.338;6,0%;439.184;59,0%;0;0,0%;743.890;
"18";"CAQUETÁ";24.856;0,3%;345.107;3,8%;969.921;10,8%;7.670.941;85,1%;0;0,0%;9.010.824;
"85";"CASANARE";61.424;1,4%;195.584;4,4%;908.008;20,5%;3.269.124;73,7%;0;0,0%;4.434.139;
"19";"CAUCA";215.819;6,9%;368.927;11,8%;290.818;9,3%;2.248.385;72,0%;0;0,0%;3.123.949;
"20";"CESAR";522.371;23,2%;238.787;10,6%;245.461;10,9%;1.247.072;55,3%;0;0,0%;2.253.690;
"27";"CHOCÓ";16.510;0,3%;76.027;1,6%;134.257;2,8%;4.583.323;95,3%;0;0,0%;4.810.117;
"23";"CÓRDOBA";730.284;29,2%;360.226;14,4%;215.304;8,6%;1.193.500;47,8%;0;0,0%;2.499.313;
"25";"CUNDINAMARCA";315.357;13,1%;325.001;13,6%;372.120;15,5%;1.385.960;57,8%;0;0,0%;2.398.438;
"94";"GUAINÍA";0;0,0%;1.049;0,0%;15.956;0,2%;7.116.405;99,8%;0;0,0%;7.133.409;
"95";"GUAVIARE";1.273;0,0%;73.229;1,3%;324.868;5,8%;5.158.543;92,8%;0;0,0%;5.557.912;
"41";"HUILA";138.838;7,7%;240.694;13,3%;218.664;12,1%;1.215.337;67,0%;0;0,0%;1.813.533;
"44";"LA GUAJIRA";66.708;3,3%;45.776;2,2%;52.166;2,5%;1.884.237;92,0%;0;0,0%;2.048.888;
"47";"MAGDALENA";565.594;24,4%;365.728;15,8%;188.062;8,1%;1.194.559;51,6%;0;0,0%;2.313.943;
"50";"META";533.128;6,2%;958.222;11,2%;1.920.899;22,5%;5.142.776;60,1%;0;0,0%;8.555.025;
"52";"NARIÑO";227.230;7,2%;202.856;6,5%;182.097;5,8%;2.528.021;80,5%;0;0,0%;3.140.204;
"54";"NORTE DE SANTANDER";140.926;6,5%;199.346;9,1%;374.297;17,2%;1.467.120;67,2%;0;0,0%;2.181.688;
"86";"PUTUMAYO";9.367;0,4%;32.079;1,2%;361.577;14,0%;2.178.977;84,4%;0;0,0%;2.582.000;
"63";"QUINDÍO";40.856;21,1%;44.079;22,8%;12.286;6,4%;95.996;49,7%;0;0,0%;193.217;
"66";"RISARALDA";80.547;22,6%;39.297;11,0%;18.524;5,2%;217.666;61,1%;0;0,0%;356.035;
"68";"SANTANDER";632.083;20,7%;395.498;12,9%;320.593;10,5%;1.706.152;55,9%;0;0,0%;3.054.326;
"70";"SUCRE";210.299;19,6%;78.874;7,4%;43.414;4,1%;738.803;69,0%;0;0,0%;1.071.389;
"73";"TOLIMA";364.605;15,1%;281.358;11,7%;231.489;9,6%;1.537.568;63,7%;0;0,0%;2.415.020;
"76";"VALLE DEL CAUCA";248.713;12,0%;205.470;9,9%;119.965;5,8%;1.499.444;72,3%;0;0,0%;2.073.591;
"97";"VAUPÉS";0;0,0%;0;0,0%;50.049;0,9%;5.283.187;99,1%;0;0,0%;5.333.236;
"99";"VICHADA";422;0,0%;120.020;1,2%;2.857.485;28,6%;7.030.684;70,2%;0;0,0%;10.008.611;
